Review,True Label,Naive Bayes Prediction,Logistic Regression Prediction,DistilBERT Prediction,Error Pattern,Error Category,Possible Reason
"Why do I give this 1974 porn movie 7 points? Because I watched it. And I found it hilarious! Aliens, their weird spaceship, their weird helmets... my God, was that a sight. And all what these desperate alien women need is semen from the earth.<br /><br />And where do they look for it? In upper Bavaria, Germany. And that is where the main fun comes from: In Europe (and more so in German-speaking countries), Bavaria is seen as a traditional and backward region. And then the actors are so helpless with the alien women. Well, there have been films about people being unable to deal with women like the ""American Pie"" series.<br /><br />But what this film achieved is a true, funny weirdness. You constantly wonder how they came up with these crackpot ideas. But it was 1974, and looking back 35 years fills one with a kind of nostalgia. You've never seen a film like that.<br /><br />And if you don't mind seeing the casual pubic hairs and breasts, watch it once. It is a comedy essentially, not a porn flick.",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"Carole Lombard stars in this transition period film. This film is a typical example of a very early ""talkie"" (First practical sound film was ""The Jazz Singer"", 1927). Overall, the acting in this film tends to be extremely broad and very melodramatic.<br /><br />The viewer may easily note that the actors are still ""acting"" for a silent film, and this combined with the overly pronounced, overly earnest dialog (It seems most likely a diction-elocution-drama coach was employed extensively to teach the ""silent"" actors to speak lines), creates some rather comical scenes which were not at all intended to be comical.<br /><br />Carole Lombard's later great acting ability is all but unrecognizable underneath all the broad gestures, melodrama, and eager earnestness.<br /><br />Mainly interesting as an historical curiosity of the period, and for it's completely unintended comedy-camp value.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
I went straight to the big screen to view this kicker. This is the only flick that I know of that Tarsem Singh has directed but boy was it intense. This movie was a total mind stimulant and one of the best special effects flick of this kind.<br /><br />The characters were vibrant and and nothing short of beings created in your own mind or nightmare. This movie is scary and interesting and totally bombs the senses with fear and exhilaration. This movie compares to no other I have seen except for the level of being beautifully odd. In that respect it is a fairly large step above `A Clockwork Orange.' Definitely see this movie on the big screen and don't wait for it to come out on tape. It won't be half as good on tape.<br /><br />This movie is not for the easily freaked out. It will mess with your mind and leave you with images that take a while to forget. But for those who like to be freaked out.....ENJOY!,1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"I was kinda surprised by the PG rating on the back of the DVD case. I certainly wouldn't want my kids watching this one. I think this would scare the crap out of a 10 year old.<br /><br />Plot: A girl trying to fit in to the clique is hazed and tormented by the 'in crowd.' They talk her into spending the night in this creepy mausoleum (that reminded me of Phantasm...) and they proceed to torment her in the night. Little do they know, a recently deceased clairvoyant is coming back to life and raising the dead around them! It sounds awfully cheesy, but given the age and the budget, which was no doubt pretty small, this film is fun on many levels.<br /><br />Watch for an early EG Daily as one of the in crowd brats. I enjoyed it and it scared my girlfriend.<br /><br />7 out of 10, kids.",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"This is a perfect movie to watch with a loved one on a cold and snowy night. If you like a few laughs with your horror then this is the movie for you. The makings of a real cult classic. It has everything you would want to see in a horror movie. A beautiful girl, A hero, The buffoon, A MONSTER TRUCK and of course a family of mutant satanic killers. This one is full of blood,guts and gore. I strongly recommend watching this one in the wee early morning hours, and be careful of who sees you being entertained by the sounds of Monster trucks, Bad {But Funny } One liners and our Hero eating eye ball stew. Not as good as the Evil Dead but a close second. Just remember WARNING..... Do NOT EAT BEFORE VIEWING THIS FILM...",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"and quite frankly that just sums it up.<br /><br />It is a small computer animated series that is filmed just like an animal documentory....<br /><br />The animation is almost flawless (I thought the long necked swimming dinosaurs eyes looked fake).<br /><br />However some of the model shots didn't look quite that realistic...<br /><br />and I thought that Jurrassic park made a better T Rex..<br /><br />If this is the type of thing we see on a normal British TV series then I cannot wait to see what they can accomplish in the movies..<br /><br />I give this 10/10 stars...<br /><br />(and the ""making of"" video was also great.....the dinosaur on the skate board was halarious)<br /><br /><..>",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"The other reviewers are way WAAAAY off as to why the Farscape show has been (temporarily) put to rest. It has NOTHING to do with the quality of the shows 'slacking'. In fact, the exact OPPOSITE is true. They kept getting better and better! :) I have seen every episode and when you simply watch them in order you really become in awe how much cooler it gets as they move on and on, and the wormhole & Aeryn subplots are really very interesting and gave it MORE vibe, not less. Before it was sort of chaotic, slow, and rather aimless. They spent like the first two seasons running from this foe type, but in the second two they were actually trying to DO something :) Also I have never seen such a great fun blend of sexy gals and attitudes in Sci-Fi. The blue girl - Zahn - was cool, but not 'sexy'. They literally got to the point where the gals were running around in leather corsets and high heels blasting aliens - now tell me, what could be cooler than that??? :))<br /><br />The real reason Farscape went off for a bit is because it was costing too much - and that is a GOOD thing for the fans, because the show, watched end to end, is really like a 60 hour long epic movie, with all the cinematics of the blockbuster stuff (ok ok they do use similar sets a lot, but the CG is great and the gals are sexxxy).<br /><br />Blah blah - the real reason is because TV shows are about PROFIT. It is a BUSINESS, and the Sci Fi channel or whoever was not getting as big a return on this expensive Farscape show as they could with junk shows like 'Stargate'. Lexx was actually cool until they got rid of the hot German girl and replaced her with this bizarre fat-lipped oddity.<br /><br />Anyway yes, remember this: Farscape kept getting better and better, until it was really like a little real movie each week. Then the networks decided 'hey people will watch any old piece of drek we shove on the air as long as it is the only sci fi thing on at that hour, so why are we spending all this money on Farscape, let's shove cheesy low-budget 'Stargate' down people's throats and call it a 'hit series' because it's like all we play every darn night LOL :))<br /><br />That's the way it goes. Also I gotta tell ya that Claudia Black is a really cool actress. After she got her facelift (got the baggy eyes tightened) she was looking really cool - one of those dynamic types like Judy Davis, and sometimes hot looking, sometimes ugly - like a roller coaster ride. I'd par Claudia Black with Lucy Lawless in style and substance - both VERY fun to watch - not just Chrichton :) And yeah you may say the pregnancy thing was cheesy, but how many sci fi shows have a BELIEVABLE and DEEP romantic subplot that actually goes somewhere and progresses?? It was legitimately cool as a romance story - the actors on the show are great. It really is a shame the show is in limbo for now, but I hope it comes back in more episodes soon and movies as well, because I will deffinately buy them! :-D",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"... sings David Bovie in this movie. BUT IT IS!!! It's ALL about America, so don't be ashamed to watch it. Just think, if you can, to prevent more damage... You know, you're just the same regular guy next door, so, be careful! One of the best critics of ""common"" mind and friendship. Still don't care? Go for it for the music - it's worth a try, just close your eyes and Pat Metheny and David Bowie will touch you so deep you'll start to scream! And while watching, if you'll dare to open your eyes, please don't do the popcorn&stuff, you're gonna miss quite a lot. You may think that it's not worth, but, think twice - and don't look at your neighbours lawn - you never know what to find there... Is It worth? Try it! Just don't die or gloat over it...",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"Boring as hell and kind of a chick flick.<br /><br />It's the story of a neurotic woman who struggles with the concept of marriage as a business arrangement, the romantic nature of a one night stand, and the uncertainty and pitfalls of true love.<br /><br />Many of the story's motifs are reminiscent of other recent KST movies (e.g. the English Patient), but have far less appeal.<br /><br />After the first half-hour I started checking my watch, wondering if I'd make it home in time to catch Leno on tv.<br /><br />I passed up ""Gladiator"" to see this!?!",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"This is a pretty silly film, including what may well be the least erotic come-on ever to make it to the big screen (the heroine pours V-8 all over herself and invites the hero to lick it off -- yuck!). And yet it also features the resplendent Lucinda Dickey in what is far and away her most erotic performance. In those long ago days, women -- even action heroines -- with real muscles were a rarity, and I can still remember the way my jaw dropped when Dickey took off her shirt, revealing the most powerfully built female back and biceps I'd ever seen. Dickey's beauty and vitality carry the film: she could have been a female Schwarzenegger if anybody had had the vision to promote her.",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"This is probably the funniest thing I have ever seen - from start to finish it was perfect in timing, atmosphere, punch lines, background music, fighting sequences and every other possible aspect you can think of. To be absolutely honest i find this movie as funny as their (Rik & Ade's) sitcom ""Bottom"" - maybe even funnier. I laughed constantly throughout the whole movie and can only recommend seeing this film... However, if you watch it without knowing (or liking?) the type of comedy Rik Mayall and Ade Edmondson has done before, you might not think it's funny at all - but I REALLY can't understand those who dislike it - THIS IS HUMOUR FOLKS!!! (People getting hit with frying pans, guys running around wearing red rubber lingerie, green vomit filling the hallways, guys getting kicked in the b******s and getting candlesticks in the eyes - HOW can this NOT be funny???) 10/10",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"You think the police are always right.<br /><br />You believe that ""eye-witnesses"" are always right.<br /><br />You believe the prosecutors will not take a case to court if lazy police have failed to perform 98% of a basic investigation.<br /><br />You believe a U.S. city might have a ""few bad apples"" in law enforcement, but that the ""good cops"" will quickly nip those who systematically engage in evil-for-evil's sake in the bud.<br /><br />You believe that the possibility of an ex-football lineman being instated as a detective solely because his dad is the county sheriff, and being allowed to beat ""confessions"" out of randomly-selected teenagers with absolutely no fear of negative consequences to himself could happen in the America of the 1930s, but not today.<br /><br />You believe a judge will NOT send a case to the jury if anyone with a brain in their head can see the defendant is a totally random passer-by nabbed by the police because it was hot, and they did not feel like working that day.<br /><br />You believe that all the innocent people imprisoned six months here or 20 years there are ""exceptions to the rule,"" and an injustice like this could NEVER involve your family member, someone in the middle class, or someone like YOU.<br /><br />You think that you are aware of every terrible, indisputable, 100% proved outrage of the last 10 years in America--yet you haven't seen this film.",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
