Review,True Label,Naive Bayes Prediction,Logistic Regression Prediction,DistilBERT Prediction,Error Pattern
"My wife is a mental health therapist and we watched it from beginning to end. I am the typical man and can not stand chick flicks, but this movie is unbelievable. If you want to see what it is like for someone who is going through these type of struggles, this is the movie for you. As I watched it I found myself feeling sorry for him and others like him. <br /><br />***Spoiler*** Plus the fact that all the individuals in the movie including the people in the mental institution were the actual people in real life made it that more real.<br /><br />A must see for someone in the mental health profession!",1,0,0,1,"Traditional models wrong, DistilBERT correct"
"""Night of the Hunted"" stars French porn star Brigitte Lahaie.In fact,many of the cast members in this slow-moving production were porn actors at the time of its frantic filming.This film is certainly different than Rollin's usual lesbian vampire flicks,but it's not as memorable as for example ""Lips of Blood"" or ""Fascination"".Lahaie plays an amnesiac hitchhiker who can't remember who she is or where she came from.Most of the film takes place in a modern apartment complex,where Lahaie is being held by some kind of medical group that's treating a number of people with a similar condition.Anyway,she escapes from the monolithic office tower where the affected people are held.On a highway outside of town,she meets a young man,who stops and picks her up.""Night of the Hunted"" offers plenty of nudity,unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is well-developed.Still ""Night of the Hunted"" is too dull to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin's works.7 out of 10 and that's being kind.",1,1,1,0,"Traditional models correct, DistilBERT wrong"
"I have certainly not seen all of Jean Rollin's films, but they mostly seem to be bloody vampire naked women fests, which if you like that sort of thing is not bad, but this is a major departure and could almost be Cronenberg minus the bio-mechanical nightmarish stuff. Except it's in French with subtitles of course. A man driving on the road at night comes across a woman that is in her slippers and bathrobe and picks her up, while in the background yet another woman lingers, wearing nothing. As they drive along it's obvious that there is something not right about the woman, in that she forgets things almost as quickly as they happen. Still though, that doesn't prevent the man from having sex with her once they return to Paris & his apartment. The man leaves for work and some strangers show up at his place and take the woman away to this 'tower block', a huge apartment building referred to as the Black Tower, where others of her kind (for whom the 'no memory' things seems to be the least of their problems) are being held for some reason. Time and events march by in the movie, which involve mostly trying to find what's going on and get out of the building for this woman, and she does manage to call Robert, the guy that picked her up in the first place, to come rescue her. The revelation as to what's going on comes in the last few moments of the movie, which has a rather strange yet touching end to it. In avoiding what seemed to be his ""typical"" formula, Rollin created, in this, what I feel is his most fascinating and disturbing film. I like this one a lot, check it out. 8 out of 10.",1,1,0,1,"Logistic Regression wrong, others correct"
"While I can't say whether or not Larry Hama ever saw any of the old cartoons, I would think that writing said cartoons, file cards, and some of the comics would count for something.<br /><br />For fans of the old cartoon, this is pretty much a continuation of the same, except with a few new characters - and a more insane Cobra Commander.<br /><br />We still have all the old favorites too, but on a personal note, one thing that always irritated me was this ""Duke in charge"" stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are similar to the old series as well; the main trick here seems to be the CGI. It's overall pretty good, if not a little over-the-top.",1,0,1,1,"Naive Bayes wrong, stronger models correct"
"Naturally, along with everyone else, I was primed to expect a lot of Hollywood fantasy revisionism in THEY DIED WITH THEIR BOOTS ON over the legend of Custer. Just having someone like Errol Flynn play Custer is enough of a clue that the legend has precedence over the truth in this production. And for the most part my expectations were fulfilled (in an admittedly rousing and entertaining way).<br /><br />Yet even in this obviously biased (and much criticized) retelling of the Custer story, I was struck by some of the points made in this movie that, sometimes subtly but nevertheless solidly, seemed to counter the typical clichés of manifest destiny and unvarnished heroism usually found in Westerns of the early 20th century.<br /><br />For instance, even while this film attempted to whitewash it's hero, certain scenes still suggested the more flawed and foolish character of the real-life Custer: <br /><br />1) His initial entrance at the West Point front gate, in which his arrogance and pompousness is a clear aspect of his character.<br /><br />2) His miserable record at West Point, which seems to be attributed as much to Custer's cluelessness about the demands of military service as any other factor; there are moments in the way Flynn plays Custer at West Point where he seems downright stupid.<br /><br />3) Custer's promotion to General is not only presented as a ridiculous mistake, but it plays out as slapstick comedy. I half-expected to see the Marx Brothers or Abbott and Costello wander into the scene.<br /><br />4) Custer's stand against Jeb Stuart at Gettysburg is not whitewashed as brilliant military tactical leadership, but is presented as reckless and wildly lucky.<br /><br />5) Custer's drinking problem is certainly not ignored.<br /><br />And although the music and some of the ways the Indians were shown in this film were certainly reinforcements of the racist stereotype of the ignorant savage, it still came as a surprise to me that the movie actually went into some detail as to why the Indians were justified in attacking the whites who were moving into their land, and fairly explicitly laid the blame for the battles in the Black Hills squarely at the foot of the white man. In fact, no one can argue that the clear villain of the piece is not Anthony Quinn as Sitting Bull, but Arthur Kennedy & Co. as the white devils making the false claim of gold in the Black Hills. Sure, that part of the story is true, but I didn't expect to see it portrayed quite so unequivically in a movie like this.<br /><br />And one other thing: usually in these films it is the Indians who are portrayed en masse as drunken animals seemingly incapable of the basic common sense to avoid getting falling down drunk any time they get near alcohol. In this movie, it is actually the troops of the 7th Cavalry, and not the Indians, who in at least two scenes are portrayed this way.<br /><br />All in all, this movie slips in some surprising moments in the midst of the Hollywood bunk.",1,1,0,1,"Logistic Regression wrong, others correct"
"Nikki Finn is the kind of girl I would marry. Never boring, always thinking positively, good with animals. Okay, as one reviewer wrote, a bit too much peroxide, lipstick, and eyebrows (Only Madonna could get away with that). But that's why I love Nikki Finn, she's not your ordinary girl. She makes things happen, always exciting to be around, and always honest. Sure, she steals, but she doesn't rob or murder (unless you're out to do her in). She knows which rules can be broken and which ones should be obeyed. She knows what to take and what can't be stolen. If you need a favor from her, she's in 100%. Bottom line: She knows how to enjoy life. Nikki is always loving (which is why she has a way with wild animals), and completely dedicated to those she loves, and who love her.<br /><br />Who's That Girl? She's the girl for me.",1,0,1,1,"Naive Bayes wrong, stronger models correct"
"For late-80s cheese, this really isn't so bad. There are a lot of pretty funny throwaway one-liners (""That was grand theft!"" - ""Thanks!"") and Madonna gives a fine performance; nothing award-worthy here, but that goes for Razzies as well as Oscars. I'm curious to know if the movie would have been better received if she had used her regular (pre-British influenced) speaking voice rather than the hyper-Bronxy accent used instead. Oh well. As a side note, I got to meet one of the actors who played one of the motorcycle cops through my work; he said that it was a fun film to work on but gave me the sad news that the actor who played Buck the UPS delivery guy died about a year after Who's That Girl",1,1,0,0,Only Naive Bayes correct
"Madonna gets into action, again and she fails again! Who's That Girl was released just one year after the huge flop of Shangai Surprise and two after the successful cult movie Desperately seeking Susan. She chose to act in it to forget the flop of the previous movie, not suspecting that this latter could be a flop, too. The movie received a bad acceptance by American critic and audience, while in Europe it was a success. Madonna states that ""Some people don't want that she's successful both as a pop star and a movie-star"". The soundtrack album, in which she sings four tracks sells well and the title-track single was agreat hit all over the world, as like as the World Tour. The truth isthat Madonna failed as an actress 'cause the script was quite weak. Butit's not so bad, especially for those who like the 80's: it's such a ramshackle, trash, colorful and joyful action movie ! At the end, it's very funny to watch it.",1,0,0,1,"Traditional models wrong, DistilBERT correct"
"[CONTAINS SPOILERS!!!]<br /><br /> Garfield and his owner Jon Arbuckle were in a rut. They basically had no life at all. All they did was lay around and count the ceiling tiles. Jon even organized his sock drawer according to color and fabric. He needed a life. So he consults a book on the subject that tells him to meet a woman. A singles' bar was a great place to start. Unfortunately, when the music started and Jon hit the dance floor, we see what made disco die: Jon killed it. Jon next tried to pick up girls at the video store. He ended up feeling down in the mouth. Literally. The laundromat was no prize either when Jon and his would-be date get a glimpse of each other's underwear. Jon tried to act all buff at the beach, but soon he angered a real buff guy, which left Jon feeling, once again, down in the mouth. Literally. Jon then tried to pick up girls walking and jogging by. No avail. Jon pulled out a guitar and sings the blues. Unfortunately when he mentioned his cat being fat, a fat man walked up and stomped Jon's guitar. It was hopeless.<br /><br /> Fortunately for Jon, an ad flashed on the TV: an ad for Lorenzo's School for the Personality Impaired. It guaranteed a lifeless person to get a life in a few easy steps. Jon and Garfield attend the class. The building didn't exactly look the same way it did on TV, nor did Lorenzo act as peppy as he did on TV. Jon sat next to a pretty girl named Mona. So while Lorenzo taught his lessons of introducing yourself, checking your pulse, and pretending to speak a foreign language, Jon and Mona get to know one another. They leave together, forgetting all about Garfield. At home, Jon and Mona just sat on the porch and talked. Garfield was jealous of Mona for fear that she would take Jon away from him. Garfield envisioned the future: Jon and Mona get married, she moves in, and soon she gives birth to a little Arbuckle who is overjoyed at pulling Garfield's tale. Back to the present, Garfield would not stand for it. He tried to get Jon to get rid of Mona, until she started scratching behind his ears. But then Jon learned that Mona was allergic to cats. So that was basically the end of their relationship. But they still saw each other every now and then, and Garfield was sure to be with them.<br /><br /> Another hilarious Garfield TV special! This one was made during the run of TV's Garfield and Friends. Garfield was slimmed down somewhat. SOMEwhat. Since hie early 1980's cartoons. The scenes of Jon trying to pick up chicks is funny, so is the one where the fat guy stomps on Jon's guitar. Good ol' Lorenzo Music is back as Garfield. Thom Huge is Jon. Frank Welker (The third man of 1,000 voices) is Lorenzo. And June Foray (The woman of 1,000 voices) is Mona. If you like Garfield, then I recommend you see Garfield Gets A Life today! It, along with Here Comes Garfield, and Garfield on the Town, were just released on DVD! So check them all out today! You are guaranteed a good time. Hey, has Garfield ever let you down before?<br /><br />-",1,1,1,0,"Traditional models correct, DistilBERT wrong"
"So, Madonna isn't Meryl Streep. Still, this is one of her first films and a comedy at that. Give her a break! Sure, the movie is mediocre at best and pales in comparison to its earlier counterpart w/ Katherine Hepburn, Bringing Up Baby. For what it is, though(a piece of fluff), it's quite a bit of fun to watch. I've yet to hear anyone that slams Madonna's acting skills back it up w/ evidence or even adjectives other than ""awful"", ""bad"", or other such vague descriptive words. If you wanna see bad acting or justify the argument that singers should stick to singing, how about Whitney Houston?? She's had the most undeserved commercial success of any actress in history and couldn't act her way out of a hatbox. The American public obviously cannot discern the difference between a credible performance in a movie and star power. I think Madonna has always been at least credible in her movies. Get real people. Madonna-bashing is so 90's.",1,0,0,0,All models wrong
